Sensor_ID,Temperature (å¡C),Vibration (m/så?)
S_1,20,0.2
S_2,21,0.25
S_3,22,0.3
S_4,23,0.35
S_5,24,0.4
S_6,25,0.2
S_7,26,0.25
S_8,27,0.3
S_9,28,0.35
S_10,29,0.4
S_11,20,0.2
S_12,21,0.25
S_13,22,0.3
S_14,23,0.35
S_15,24,0.4
S_16,25,0.2
S_17,26,0.25
S_18,27,0.3
S_19,28,0.35
S_20,29,0.4
S_21,20,0.2
S_22,21,0.25
S_23,22,0.3
S_24,23,0.35
S_25,24,0.4
S_26,25,0.2
S_27,26,0.25
S_28,27,0.3
S_29,28,0.35
S_30,29,0.4
S_31,20,0.2
S_32,21,0.25
S_33,22,0.3
S_34,23,0.35
S_35,24,0.4
S_36,25,0.2
S_37,26,0.25
S_38,27,0.3
S_39,28,0.35
S_40,29,0.4
S_41,20,0.2
S_42,21,0.25
S_43,22,0.3
S_44,23,0.35
S_45,24,0.4
S_46,25,0.2
S_47,26,0.25
S_48,27,0.3
S_49,28,0.35
S_50,29,0.4
S_51,20,0.2
S_52,21,0.25
S_53,22,0.3
S_54,23,0.35
S_55,24,0.4
S_56,25,0.2
S_57,26,0.25
S_58,27,0.3
S_59,28,0.35
S_60,29,0.4
S_61,20,0.2
S_62,21,0.25
S_63,22,0.3
S_64,23,0.35
S_65,24,0.4
S_66,25,0.2
S_67,26,0.25
S_68,27,0.3
S_69,28,0.35
S_70,29,0.4
S_71,20,0.2
S_72,21,0.25
S_73,22,0.3
S_74,23,0.35
S_75,24,0.4
S_76,25,0.2
S_77,26,0.25
S_78,27,0.3
S_79,28,0.35
S_80,29,0.4
S_81,20,0.2
S_82,21,0.25
S_83,22,0.3
S_84,23,0.35
S_85,24,0.4
S_86,25,0.2
S_87,26,0.25
S_88,27,0.3
S_89,28,0.35
S_90,29,0.4
S_91,20,0.2
S_92,21,0.25
S_93,22,0.3
S_94,23,0.35
S_95,24,0.4
S_96,25,0.2
S_97,26,0.25
S_98,27,0.3
S_99,28,0.35
S_100,29,0.4
S_101,20,0.2
S_102,21,0.25
S_103,22,0.3
S_104,23,0.35
S_105,24,0.4
S_106,25,0.2
S_107,26,0.25
S_108,27,0.3
S_109,28,0.35
S_110,29,0.4
S_111,20,0.2
S_112,21,0.25
S_113,22,0.3
S_114,23,0.35
S_115,24,0.4
S_116,25,0.2
S_117,26,0.25
S_118,27,0.3
S_119,28,0.35
S_120,29,0.4
S_121,20,0.2
S_122,21,0.25
S_123,22,0.3
S_124,23,0.35
S_125,24,0.4
S_126,25,0.2
S_127,26,0.25
S_128,27,0.3
S_129,28,0.35
S_130,29,0.4
S_131,20,0.2
S_132,21,0.25
S_133,22,0.3
S_134,23,0.35
S_135,24,0.4
S_136,25,0.2
S_137,26,0.25
S_138,27,0.3
S_139,28,0.35
S_140,29,0.4
S_141,20,0.2
S_142,21,0.25
S_143,22,0.3
S_144,23,0.35
S_145,24,0.4
S_146,25,0.2
S_147,26,0.25
S_148,27,0.3
S_149,28,0.35
S_150,29,0.4
S_151,20,0.2
S_152,21,0.25
S_153,22,0.3
S_154,23,0.35
S_155,24,0.4
S_156,25,0.2
S_157,26,0.25
S_158,27,0.3
S_159,28,0.35
S_160,29,0.4
S_161,20,0.2
S_162,21,0.25
S_163,22,0.3
S_164,23,0.35
S_165,24,0.4
S_166,25,0.2
S_167,26,0.25
S_168,27,0.3
S_169,28,0.35
S_170,29,0.4
