Sensor_ID,temperature,vibration,state
S_1,86.28,4.32,Warning
S_2,86.34,3.18,Warning
S_3,62.5,2.99,Warning
S_4,69.81,1.77,Healthy
S_5,55.75,3,Warning
S_6,74.18,3.21,Warning
S_7,51.29,2.76,Warning
S_8,108.03,2.46,Warning
S_9,100.41,3.51,Warning
S_10,87.14,3.81,Warning
S_11,107.2,3.07,Warning
S_12,74.56,3.58,Warning
S_13,62.24,2.25,Warning
S_14,61.39,4.39,Warning
S_15,90.42,0.59,Warning
S_16,64.53,5.39,Warning
S_17,71.26,5.38,Warning
S_18,86.4,3.47,Warning
S_19,58.77,3.83,Warning
S_20,67.92,1.69,Healthy
S_21,102.58,5.03,Failing
S_22,87.57,2.33,Warning
S_23,109.97,1.49,Warning
S_24,92.22,0.94,Warning
S_25,89.01,5.95,Warning
S_26,74.66,5.38,Warning
S_27,92.23,5.25,Warning
S_28,86.61,1.47,Warning
S_29,106.74,4.69,Warning
S_30,69.65,4.98,Warning
S_31,87.22,1.43,Warning
S_32,109.27,4.85,Warning
S_33,84.79,1.81,Warning
S_34,107.41,3.74,Warning
S_35,108.44,5.16,Failing
S_36,74.38,2.41,Warning
S_37,57.26,2.8,Warning
S_38,64.07,4.92,Warning
S_39,81.54,2.08,Warning
S_40,100.39,4.43,Warning
S_41,109.01,5.69,Failing
S_42,84.29,5.31,Warning
S_43,93.71,1.29,Warning
S_44,92.85,5.1,Warning
S_45,62.63,5.84,Warning
S_46,84.98,3.64,Warning
S_47,50.41,5.6,Warning
S_48,65.46,2.52,Warning
S_49,52.99,4.44,Warning
S_50,64.29,5.97,Warning
S_51,75.86,5.54,Warning
S_52,54.26,2.88,Warning
S_53,57.61,4.25,Warning
S_54,52.15,3.57,Warning
S_55,105.01,2.53,Warning
S_56,86.17,3.16,Warning
S_57,79.47,5.29,Warning
S_58,99.72,1.72,Warning
S_59,86.5,2.17,Warning
S_60,51.82,2.7,Warning
S_61,94.87,3.4,Warning
S_62,59.52,2.96,Warning
S_63,86.28,2.43,Warning
S_64,107.69,5.31,Failing
S_65,80.35,0.67,Warning
S_66,69.31,1.88,Healthy
S_67,61.91,0.52,Healthy
S_68,100.97,1.52,Warning
S_69,79.34,2.23,Warning
S_70,87.21,1.62,Warning
S_71,87.49,3.72,Warning
S_72,99.53,2.11,Warning
S_73,81.78,2.68,Warning
S_74,107.61,5.42,Failing
S_75,81.03,3.94,Warning
S_76,61.16,4.09,Warning
S_77,67.37,3.2,Warning
S_78,109.86,5.05,Failing
S_79,51.33,4.54,Warning
S_80,60.47,1.71,Healthy
S_81,109.69,1.06,Warning
S_82,91.35,4.7,Warning
S_83,78.9,4.58,Warning
S_84,71.78,4.56,Warning
S_85,95.5,4.85,Warning
S_86,71.92,3.08,Warning
S_87,64.51,1.26,Healthy
S_88,108.16,2.4,Warning
S_89,88.52,0.96,Warning
S_90,62.97,0.92,Healthy
S_91,93.87,0.85,Warning
S_92,67.55,2.79,Warning
S_93,66.15,3.83,Warning
S_94,57.25,5.73,Warning
S_95,104.7,5.82,Failing
S_96,91.79,4.02,Warning
S_97,90.82,1.84,Warning
S_98,61.77,0.96,Healthy
S_99,63.82,5.66,Warning
S_100,90.26,3.52,Warning
